party,state,pc_name,candidate,Sum of total_votes,Sum of total_electors
A S P,Uttar Pradesh,Agra,CHANDRAPAL HASMUKH BAVJIBHAI,557,1814739
Aa S P,NCT OF Delhi,NORTH WEST DELHI,MUNNA SINGH,1749,2194343
Aa S P,Uttar Pradesh,Lalganj,DINESH KUMAR,1733,1661470
AAAP,Andaman & Nicobar Islands,Andaman & Nicobar Islands,SANJAY MESHACK,6576,587831
AAAP,Arunachal Pradesh,ARUNACHAL WEST,HABUNG PAYENG,3647,446640
AAAP,Assam,Dhubri,SYED ALAMDAR HUSSAIN,4468,1550166
AAAP,Assam,Gauhati,PRANJAL BORDOLOY,4809,1922270
AAAP,Assam,Jorhat,MANOROM GOGOI,3659,1189486
AAAP,Assam,Kaliabor,TOPON KUMAR GOGOI,2584,1457219
AAAP,Assam,Karimganj,TARUN KUMAR DAS,3658,1165997
AAAP,Assam,Lakhimpur,DR. CHANDRA BEN,2893,1431080
AAAP,Assam,Mangaldoi,NAMRATA SARMA,3424,1515676
AAAP,Assam,Silchar,ABDUL WARIS,3118,1060175
AAAP,Bihar,Araria,CHANDRA BHUSHAN KANWAR ADHIVAKTA L L M,5685,1587332
AAAP,Bihar,Arrah,KUMAR,7518,1824515
AAAP,Bihar,Aurangabad,MUNNA SINGH,6703,1536153
AAAP,Bihar,Banka,KUMAR,6058,1549456
AAAP,Bihar,Begusarai,SUNIL KUMAR,8639,1778759
AAAP,Bihar,Bhagalpur,SATYENDRA KUMAR,7316,1823820
AAAP,Bihar,Bhagalpur,YOGENDRA RAM,5830,1685339
AAAP,Bihar,Buxar,SHRIMATI HEMLATA PATHAK,7879,1640671
AAAP,Bihar,Darbhanga,CHANDAN DAS,7550,1495445
AAAP,Bihar,Gaya (SC),DHANANJAY KISHORE,7312,1501521
AAAP,Bihar,Hajipur (SC),RAJ KR. PASWAN,6344,1649547
AAAP,Bihar,Jahanabad,MANOJ SHARMA,3711,1423246
AAAP,Bihar,Jamui (SC),VINOD KUMAR,7159,1550936
AAAP,Bihar,Jhanjharpur,SHRUTI DEVI VYRICHERLA,9441,1668405
AAAP,Bihar,Karakat,GHULAM KUNDANAM,6938,1580558
AAAP,Bihar,Katihar,ANAND KUMAR JHA,4323,1446478
AAAP,Bihar,Khagaria,VIVEK,14491,1506587
AAAP,Bihar,Kishanganj,ABDUL TAHIR ANSARI (BABLU) ADVOCATE PATRKAR AND SAMAJSEWAK,15010,1438990
AAAP,Bihar,Kishanganj,Alimuddin Ansari,9822,1659651
AAAP,Bihar,Madhepura,MD. MINHAZ ALAM,9538,1725693
AAAP,Bihar,Madhubani,SHRIMATI HEMLATA PATHAK,9718,1627832
AAAP,Bihar,Maharajganj,GEETA RANI KUSHWAH,6430,1642068
AAAP,Bihar,Munger,SANDEEP,7481,1719984
AAAP,Bihar,Muzaffarpur,SUMAN,6945,1551363
AAAP,Bihar,Nalanda,KOTLA JAYA SURYA PRAKASH REDDY,18224,1951967
AAAP,Bihar,Nawada,BRIJENDRA SINGH,4057,1694895
AAAP,Bihar,Paschim Champaran,MUNNA SINGH,4297,1413148
AAAP,Bihar,Pataliputra,MUNNA SINGH,5637,1736074
AAAP,Bihar,Patna Sahib,ADVOCATE PARVEEN YADAV WAZIRABAD,16381,1946249
AAAP,Bihar,Purnia,RAM NIRANJAN ROY,16630,1582626
AAAP,Bihar,Purvi Champaran,KUMAR,7512,1439253
AAAP,Bihar,Samastipur (SC),GANESH,9954,1504451
AAAP,Bihar,Saran,DURGESH SINGH CHAUHAN,5099,1538740
AAAP,Bihar,Sasaram (SC),GEETA,11005,1607747
AAAP,Bihar,Sheohar,VIDYA SAHU,8256,1485801
AAAP,Bihar,Sitamarhi,PARAVASTU SATYA GOPINATH DAS,18043,1574914
AAAP,Bihar,Sitamarhi,Raghunath Kumar,9009,1752454
AAAP,Bihar,Siwan,OM PRAKASH PANDEY,10542,1563860
AAAP,Bihar,Supaul,HEMA JHA,9604,1525583
AAAP,Bihar,Ujiarpur,SURESH SAH,8917,1426217
AAAP,Bihar,Vaishali,RAJKISHORE PRASAD ALIAS PAPPU YADAV,7768,1566321
AAAP,Bihar,Valmiki Nagar,ANMISH VARMA,6008,1456598
AAAP,Chandigarh,CHANDIGARH,DASWINDER KAUR,108679,615214
AAAP,Chandigarh,CHANDIGARH,HARMOHAN DHAWAN,13781,646729
AAAP,Dadra & Nagar Haveli,Dadar & Nagar Haveli,AMARJIT PATEL,621,196597
AAAP,Daman & Diu,Daman & diu,KESSUR GOAN,729,111827
AAAP,Goa,North Goa,DATTATRAYA PADGAONKAR,4756,556761
AAAP,Goa,North Goa,DESAI ISHVARBHAI MAHADEVBHAI,15857,515441
AAAP,Goa,South Goa,Dr. K. S. RADHAKRISHNAN,11246,545336
AAAP,Goa,South Goa,ELVIS GOMES,20891,579352
AAAP,Gujarat,Ahmedabad East,BABULAL AMARSHI VAGHELA,11349,1601832
AAAP,Gujarat,Ahmedabad West,Ullagi David Jayakumar (Dr. D J Kumar),17332,1534400
AAAP,Gujarat,Amreli,SUKHADIYA NATHALAL VALLABHBHAI,15520,1486286
AAAP,Gujarat,Anand,G S RAJU,2442,1496859
AAAP,Gujarat,Banaskantha,KUMAR,6571,1515711
AAAP,Gujarat,Bardoli,HARI CHAND,10842,1614106
AAAP,Gujarat,Bharuch,MANOJ RANA,4818,1417548
AAAP,Gujarat,Bhavnagar,Y. V. Suresh,49540,1594531
AAAP,Gujarat,Chhota Udaipur,ARJUN,23116,1536305
AAAP,Gujarat,Dahod,ADVOCATE SHAILESH N. SOLANKI,4849,1411765
AAAP,Gujarat,Gandhinagar,RAHUL CHIMANBHAI MEHTA,19966,1733972
AAAP,Gujarat,Jamnagar,THAKOR RAJENDRASINH SHIVSINH,4911,1470952
AAAP,Gujarat,Junagadh,ATUL KUMAR SINGH,16674,1485543
AAAP,Gujarat,Kachchh,AMICHAND,15797,1533782
AAAP,Gujarat,Kheda,BADHIWALA LABHUBHAI JIVRAJBHAI,3742,1599476
AAAP,Gujarat,Mahesana,KUMAR,3731,1498219
AAAP,Gujarat,Navsari,SANJAY KUMAR PATEL,14299,1764622
AAAP,Gujarat,Panchmahal,KUMAR,6935,1576667
AAAP,Gujarat,Porbandar,MANSUKH SUNDARAJI DHOKAI,7939,1539223
AAAP,Gujarat,Rajkot,KUMAR,10785,1655717
AAAP,Gujarat,Surat,MOHAN,18877,1484068
AAAP,Gujarat,Surendranagar,AMARJIT PATEL,13375,1656657
AAAP,Gujarat,Vadodara,SUNIL,10101,1638321
AAAP,Gujarat,Valsad,SANJAY KUMAR PATEL,8047,1512061
AAAP,Haryana,Ambala,PRITHVI RAJ,12302,1853711
AAAP,Haryana,Ambala,SURINDER SINGH,63626,1692424
AAAP,Haryana,Bhiwani-Mahendragarh,LALITA,22200,1473912
AAAP,Haryana,Faridabad,PANDIT NAVIN JAIHIND,11112,2071816
AAAP,Haryana,Faridabad,PURSHOTAM DAGAR,67355,1740352
AAAP,Haryana,Gurgaon,YOGENDRA YADAV,79456,1844906
AAAP,Haryana,Hisar,MUNNA SINGH,28490,1517606
AAAP,Haryana,Karnal,Krishan Kumar Aggarwal,22084,1904193
AAAP,Haryana,Karnal,PARAMJIT SINGH,32060,1684321
AAAP,Haryana,Kurukshetra,BALWINDER KAUR,32554,1498459
AAAP,Haryana,Rohtak,NAVEEN,46759,1567508
AAAP,Haryana,Sirsa,PURAN CHAND,66844,1660557
AAAP,Haryana,Sonipat,BRITTO JAI SINGH M,48597,1417188
AAAP,Himachal Pradesh,Hamirpur,KAMAL KANTA BATRA,15329,1247699
AAAP,Himachal Pradesh,Kangra,DR. KALIDAS PRAKASH VAINGANKAR,24430,1258601
AAAP,Himachal Pradesh,Mandi,JAI PRAKASH NARAYAN YADAV,9359,1150408
AAAP,Himachal Pradesh,Shimla,SUBHASH CHANDER GOYAL,14233,1153363
AAAP,Jammu & Kashmir,Anantnag,CHAUDHARI DR. TUSHARBHAI AMARSINHBHAI,3252,1301143
AAAP,Jammu & Kashmir,Srinagar,RAJA RAM SINGH,3271,1207230
AAAP,Jharkhand,Chatra,SIMA CHANDRAVANSI,17980,1312562
AAAP,Jharkhand,Dhanbad,YALLA VENKATA RAMA MOHAN RAO (DORABABU),8948,1890021
AAAP,Jharkhand,Dumka,SAHADEO KERAPPA AIWALE,3739,1273049
AAAP,Jharkhand,Giridih,GURJEET SINGH,7071,1511644
AAAP,Jharkhand,Godda,HEMA JHA,5080,1590772
AAAP,Jharkhand,Hazaribagh,KUMAR,7140,1518923
AAAP,Jharkhand,Jamshedpur,KUMAR,7145,1581665
AAAP,Jharkhand,Khunti,DAYAMANI BARLA,11822,1111856
AAAP,Jharkhand,Kodarma,KUMAR,11880,1639645
AAAP,Jharkhand,Ranchi,AMANULLAH AHMED,8497,1648459
AAAP,Karnataka,Bagalkot,KAZI KUTUBUDDIN,2004,1568633
AAAP,Karnataka,Bangalore central,BALAKRISHNAN,39869,1931456
AAAP,Karnataka,Bangalore North,GEDDAM DAVID NELSON BABU,28107,2401472
AAAP,Karnataka,Bangalore Rural,RAVI,17195,2190398
AAAP,Karnataka,Bangalore South,POTLURI.V.PRASAD ( P V P ),21403,1998724
AAAP,Karnataka,Belgaum,ANGADI MUTTAPPA CHANNASANGAPPA,8524,1580895
AAAP,Karnataka,Bellary,KUMAR,6038,1487945
AAAP,Karnataka,Bidar,UMESH CHANDRA KATIYAR,4540,1600962
AAAP,Karnataka,Bijapur,SHRIDHAR NARAYAN SALVE,4717,1622635
AAAP,Karnataka,Chamarajanagar,KUMAR,3357,1555781
AAAP,Karnataka,Chikkballapur,Surya Bhavani. K,6827,1658410
AAAP,Karnataka,Chikkodi,SHABER AHMED,3529,1442206
AAAP,Karnataka,Chitradurga,MOHAN,14226,1661277
AAAP,Karnataka,Dakshina Kannada,PATEL KALIDAS (KALIDAS M. PATEL ALIAS NAPOLEON),5442,1565219
AAAP,Karnataka,Davanagere,K.RAJASHEKAR BASAVARAJ HITNAL,2582,1522712
AAAP,Karnataka,Dharwad,KUMAR,4349,1578125
AAAP,Karnataka,Gulbarga,B. V NAIK,9074,1721990
AAAP,Karnataka,Hassan,MOHAN,8018,1561486
AAAP,Karnataka,Haveri,M V V SATYANARAYANA,1602,1558749
AAAP,Karnataka,Kolar,KOTIGANAHALLI RAMAIAH,17563,1492977
AAAP,Karnataka,Koppal,KUMAR,3425,1535105
AAAP,Karnataka,Mandya,CHAUDHARI DR. TUSHARBHAI AMARSINHBHAI,4098,1669262
AAAP,Karnataka,Mysore,M V V SATYANARAYANA,5650,1723134
AAAP,Karnataka,Raichur,BHIMARAYA JARADABANDI,4234,1661606
AAAP,Karnataka,Shimoga,KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR),7542,1562243
AAAP,Karnataka,Tumkur,A.S.D''''SILVA,8322,1518518
AAAP,Karnataka,Udupi Chikmagalur,G S RAJU,6049,1387294
AAAP,Karnataka,Uttara Kannada,K. DEVANAND,6215,1450599
AAAP,Kerala,Alappuzha,MOHAN,9414,1271324
AAAP,Kerala,Chalakudy,M V V SATYANARAYANA,35189,1150497
AAAP,Kerala,Ernakulam,MAHESH PRATAP SHARMA,51517,1156492
AAAP,Kerala,Idukki,SUNIL,11215,1158735
AAAP,Kerala,Kannur,POTLURI.V.PRASAD ( P V P ),6106,1170266
AAAP,Kerala,Kasaragod,AMBALATHARA KUNHIKRISHNAN,4996,1243730
AAAP,Kerala,Kottayam,ANIL,26381,1161465
AAAP,Kerala,Kozhikode,POTLURI.V.PRASAD ( P V P ),13934,1182484
AAAP,Kerala,Mavelikkara,KALYANA SUNDARAM. N,7753,1252668
AAAP,Kerala,Palakkad,C. K. PADMANABHAN,4933,1208726
AAAP,Kerala,Ponnani,Anwar P.V. Alumkuzhi,9504,1180789
AAAP,Kerala,Thiruvananthapuram,JOY NAGESH BHOSLE,14153,1272748
AAAP,Kerala,Thrissur,SARAH JOSEPH,44638,1275288
AAAP,Kerala,Vadakara,ALI AKBAR K.,6245,1182504
AAAP,Kerala,Wayanad,POTLURI.V.PRASAD ( P V P ),10684,1249420
AAAP,Madhya Pradesh,BALAGHAT,MUNNA,9898,1629741
AAAP,Madhya Pradesh,BETUL,RAJESH,20627,1607831
AAAP,Madhya Pradesh,BHIND,SHRUTI DEVI VYRICHERLA,7730,1600137
AAAP,Madhya Pradesh,BHOPAL,RACHNA DHINGRA,21298,1957241
AAAP,Madhya Pradesh,CHHINDWARA,MAHESH RAM,5696,1402038
AAAP,Madhya Pradesh,DAMOH,SANTOSH,11298,1651614
AAAP,Madhya Pradesh,DEWAS,SUJEET SANGTE,4216,1617111
AAAP,Madhya Pradesh,DHAR,SUSHMA DEVI,10683,1668441
AAAP,Madhya Pradesh,GUNA,MUNNA SINGH,4073,1605613
AAAP,Madhya Pradesh,GWALIOR,NEELAM AGRWAL,11510,1876965
AAAP,Madhya Pradesh,HOSHANGABAD,M. P. VISHWAKARMA (MUNNA PRASAD),17837,1568206
AAAP,Madhya Pradesh,INDORE,ANIL,35169,2115303
AAAP,Madhya Pradesh,JABALPUR,VEER SINGH PATEL,15977,1711621
AAAP,Madhya Pradesh,KHAJURAHO,AMIT ATMARAM KORGAONKAR,8930,1702833
AAAP,Madhya Pradesh,KHANDWA,DR. ALOK KUMAR SUMAN,16799,1759417
AAAP,Madhya Pradesh,KHARGONE,KAILASH KARWASARA,31222,1703272
AAAP,Madhya Pradesh,MANDLA,MUNNA SINGH,11548,1824702
AAAP,Madhya Pradesh,MANDSOUR,PARAS,10183,1626556
AAAP,Madhya Pradesh,MORENA,KUMAR,13806,1702457
AAAP,Madhya Pradesh,RAJGARH,LAL MANI TRIPATHI (BHAI SAHAB),8699,1578757
AAAP,Madhya Pradesh,RATLAM,ENARI MACHAR,6085,1702576
AAAP,Madhya Pradesh,REWA,BIPIN NATH TIWARI ALIAS BIPIN TIWARI,5835,1544719
AAAP,Madhya Pradesh,SAGAR,JITENDRABHAI PREMNATH MISHRA,6328,1520322
AAAP,Madhya Pradesh,SATNA,JAGDISH KUMAR SINGH,7925,1458381
AAAP,Madhya Pradesh,SHAHDOL,KUMAR,20312,1561016
AAAP,Madhya Pradesh,SIDHI,PANKAJ DAS,9691,1736048
AAAP,Madhya Pradesh,TIKAMGARH,RAMESH CHAND VERMA,4992,1528863
AAAP,Madhya Pradesh,UJJAIN,ANEETA HINDOLIYA,5917,1525481
AAAP,Madhya Pradesh,VIDISHA,BIREN SINGH ENGTI,5204,1634039
AAAP,Maharashtra,Ahmadnagar,MEHEDI IQBAL HASAN SAYYED,7120,1705005
AAAP,Maharashtra,Akola,AJAY KUMAR SINHA,8076,1672643
AAAP,Maharashtra,Amravati,BHAVNA BHAVESH WASNIK,6424,1612739
AAAP,Maharashtra,Aurangabad,SUBHASH,11974,1589395
AAAP,Maharashtra,Baramati,ANGADI SURESH CHANNABASAPPA,26396,1813553
AAAP,Maharashtra,Beed,KURUVA GORANTLA MADHAV,4281,1792652
AAAP,Maharashtra,Bhandara - gondiya,INDU DEVI MISHRA,8647,1655852
AAAP,Maharashtra,Bhiwandi,PHESAL ANSARI,11055,1696584
AAAP,Maharashtra,Buldhana,SUDHIR KUMAR,3429,1595435
AAAP,Maharashtra,Chandrapur,CHATAP WAMANRAO SADASHIV,204413,1753690
AAAP,Maharashtra,Dhule,MD. KHALIQUE ANSARI,9339,1675367
AAAP,Maharashtra,Dindori,PROF. DNYANESHWAR DAMU MALI,4067,1530208
AAAP,Maharashtra,Gadchiroli-Chimur,Dr. RAMESHKUMAR BABURAOJI GAJBE,45458,1468437
AAAP,Maharashtra,Hatkanangle,D.R. PATIL,9015,1630604
AAAP,Maharashtra,Hingoli,PRINCIPAL DR.VITHAL NAMDEORAO KADAM,3729,1586194
AAAP,Maharashtra,Jalgaon,DR. TITUS BHENGRA,7390,1707969
AAAP,Maharashtra,Jalna,DILIP SAIKIA,4622,1612056
AAAP,Maharashtra,Kalyan,ARVIND,20347,1922034
AAAP,Maharashtra,Kolhapur,RAM NARAYAN,5495,1758293
AAAP,Maharashtra,Latur,DIPRATNA PRABHAKARRAO NILANGEKAR,9829,1686957
AAAP,Maharashtra,Madha,BALKRISHNA,7160,1727322
AAAP,Maharashtra,Maval,BHAPKAR MARUTI SAHEBRAO,30566,1953741
AAAP,Maharashtra,Mumbai   South,MEERA KUMARI YADAV,40298,1485844
AAAP,Maharashtra,Mumbai North,SATISH,32364,1783870
AAAP,Maharashtra,Mumbai North central,PHIROZE PALKHIVALA,34824,1737084
AAAP,Maharashtra,Mumbai North East,MEDHA PATKAR,76451,1668357
AAAP,Maharashtra,Mumbai North West,RAMESH,51860,1775416
AAAP,Maharashtra,Mumbai South central,BALAKRISHNAN,27687,1447886
AAAP,Maharashtra,Nagpur,MANI A,69081,1900784
AAAP,Maharashtra,Nanded,NARENDRA SINGH,3397,1687057
AAAP,Maharashtra,Nandurbar,VIRENDRA,3511,1672943
AAAP,Maharashtra,Nashik,VIJAY PARMAR,9672,1593774
AAAP,Maharashtra,Osmanabad,ASHOK BAITHA,4240,1759186
AAAP,Maharashtra,Palghar,PANDURANG JETHYA PARDHI,16182,1578149
AAAP,Maharashtra,Parbhani,SALMA SHRINIWAS KULKARNI,4449,1803792
AAAP,Maharashtra,Pune,SUBHASH,28657,1835835
AAAP,Maharashtra,Raigad,DR. TITUS BHENGRA,6759,1532781
AAAP,Maharashtra,Ramtek,DULAL CHANDRA GOSWAMI,25889,1677266
AAAP,Maharashtra,Ratnagiri - sindhudurg,ABHIJIT SAHA,12700,1367362
AAAP,Maharashtra,Raver,BOBBEETA SHARMA,3756,1593389
AAAP,Maharashtra,Sangli,AHMED ALI KHAN,4699,1649107
AAAP,Maharashtra,Satara,RAJENDRA PASWAN,82489,1719998
AAAP,Maharashtra,Shirdi,NITIN,11580,1462267
AAAP,Maharashtra,Shirur,NIKAM SOPANRAO PANDHARINATH,16663,1824112
AAAP,Maharashtra,Solapur,LALITA,9261,1702739
AAAP,Maharashtra,Thane,AYUSHMAN DOCTOR SANJEEV KUMAR,41535,2073251
AAAP,Maharashtra,Wardha,SANJAY KUMAR PATEL,15738,1564552
AAAP,Maharashtra,Yavatmal-Washim,NARESH YADAV,6423,1755292
AAAP,Manipur,Inner manipur,MUNNA SINGH,3273,855360
AAAP,Manipur,Outer manipur,K. DEVANAND,4331,919009
AAAP,Meghalaya,Shillong,ARMERINGTON KHARSHIING,8815,980740
AAAP,Mizoram,MIZORAM,M.LALMANZUALA,11890,702170
AAAP,NCT OF Delhi,CHANDNI CHOWK,ASHUTOSH S KAMBALE,301618,1447230
AAAP,NCT OF Delhi,CHANDNI CHOWK,PANKAJ KUMAR GUPTA,144551,1562283
AAAP,NCT OF Delhi,EAST DELHI,ATISHI,219328,2039302
AAAP,NCT OF Delhi,EAST DELHI,MOHAN,381739,1829578
AAAP,NCT OF Delhi,NEW DELHI,ASHISH KHETAN,290642,1490147
AAAP,NCT OF Delhi,NEW DELHI,BRIJESH GOYAL,150342,1617470
AAAP,NCT OF Delhi,NORTH EAST DELHI,ANAND KUMAR JHA,452041,1957708
AAAP,NCT OF Delhi,NORTH EAST DELHI,DILIP PANDEY,190856,2290492
AAAP,NCT OF Delhi,NORTH WEST DELHI,GUGAN SINGH,294766,2378995
AAAP,NCT OF Delhi,NORTH WEST DELHI,RAKHI BIRLA,523058,2194343
AAAP,NCT OF Delhi,SOUTH DELHI,INDER SEN,390980,1752748
AAAP,NCT OF Delhi,SOUTH DELHI,RAGHAV CHADHA,319971,2067463
AAAP,NCT OF Delhi,WEST DELHI,BALBIR SINGH JAKHAR,251873,2371644
AAAP,NCT OF Delhi,WEST DELHI,PABAN SINGH GHATOWAR,382809,2039410
AAAP,Odisha,Sundargarh,Basil Ekka,6614,1531525
AAAP,Puducherry,Puducherry,DR. KALIDAS PRAKASH VAINGANKAR,8307,901357
AAAP,Punjab,Amritsar,DALJIT SINGH,82633,1477262
AAAP,Punjab,Amritsar,KULDIP SINGH DHALIWAL,20087,1507875
AAAP,Punjab,Anandpur Sahib,MUNNA SINGH,306008,1564721
AAAP,Punjab,Anandpur Sahib,Narinder Singh Shergill,53052,1698876
AAAP,Punjab,Bathinda,JASRAJ SINGH LONGIA,87901,1525289
AAAP,Punjab,Bathinda,Prof. Baljinder Kaur,134398,1621671
AAAP,Punjab,Faridkot,MUNNA SINGH,450751,1455075
AAAP,Punjab,Faridkot,Prof. Sadhu Singh,115319,1541971
AAAP,Punjab,Fatehgarh Sahib,BANDEEP SINGH,62881,1502861
AAAP,Punjab,Fatehgarh Sahib,MUNNA SINGH,367293,1396957
AAAP,Punjab,Firozpur,HARJINDER SINGH KAKA SRAN,31872,1618419
AAAP,Punjab,Firozpur,YASH PAUL,113412,1522111
AAAP,Punjab,Gurdaspur,MUNNA SINGH,173376,1500337
AAAP,Punjab,Gurdaspur,PETER MASIH,27744,1595284
AAAP,Punjab,Hoshiarpur,Dr. RAVJOT SINGH,44914,1597500
AAAP,Punjab,Hoshiarpur,YAMINI GOMAR,213388,1485286
AAAP,Punjab,Jalandhar,Justice (Retd.) Jora Singh,25467,1617018
AAAP,Punjab,Jalandhar,JYOTI,254121,1551497
AAAP,Punjab,Khadoor Sahib,BANDEEP SINGH,144521,1563409
AAAP,Punjab,Khadoor Sahib,MANJINDER SINGH SIDHU,13656,1638842
AAAP,Punjab,Ludhiana,ARVIND,280750,1561201
AAAP,Punjab,Ludhiana,PROF. TEJ PAL SINGH GILL,15945,1683325
AAAP,Punjab,Patiala,CHAUDHARI DR. TUSHARBHAI AMARSINHBHAI,365671,1580273
AAAP,Punjab,Patiala,Neena Mittal,56877,1739600
AAAP,Punjab,Sangrur,BHAGWANT MANN,946798,2954174
AAAP,Rajasthan,Alwar,VIRENDRA,8517,1626442
AAAP,Rajasthan,Banswara,GANTI HARISH MADHUR (BALAYOGI),13647,1698244
AAAP,Rajasthan,Barmer,MANGILAL GAUR,14906,1680152
AAAP,Rajasthan,BHARATPUR,YELLA VENU GOPAL RAO,7013,1690705
AAAP,Rajasthan,Bhilwara,SUNIL,5909,1754901
AAAP,Rajasthan,Bikaner,DR. CHANDRA BEN,14148,1592355
AAAP,Rajasthan,Chittorgarh,KUMAR,5939,1819506
AAAP,Rajasthan,Churu,KUMAR,13977,1753825
AAAP,Rajasthan,Dausa,KUMAR,3202,1524100
AAAP,Rajasthan,Ganganagar,DR. BALKRISHAN PANWAR,40016,1718414
AAAP,Rajasthan,Jaipur,VIRENDRA,55118,1957820
AAAP,Rajasthan,Jaipur Rural,ANIL KUMAR,6917,1700307
AAAP,Rajasthan,Jhunjhunu,D M R SEKHAR,10386,1697470
AAAP,Rajasthan,Jodhpur,VIGYAN MODI,8552,1727791
AAAP,Rajasthan,KARAULI-DHOLPUR,GHANSHYAM TIWARI,3726,1549468
AAAP,Rajasthan,Kota,ASHOK KUMAR,16981,1744539
AAAP,Rajasthan,Nagaur,HANUMANRAM,3976,1678660
AAAP,Rajasthan,Pali,MAHESH RAM,5031,1902094
AAAP,Rajasthan,Rajsamand,MUNNA SINGH,4897,1701194
AAAP,Rajasthan,Sikar,KUMAR,15666,1769882
AAAP,Rajasthan,TONK-SAWAI MADHOPUR,MUKESH,2668,1710775
AAAP,Rajasthan,Udaipur,DR. KALIDAS PRAKASH VAINGANKAR,11449,1817940
AAAP,Sikkim,Sikkim,KULDEEP RAI SHARMA,2541,370770
AAAP,Tamil Nadu,Arakkonam,RAJESH,4021,1401813
AAAP,Tamil Nadu,Chennai central,BHOGILAL J. RATHOD (ADVOCATE),19553,1328038
AAAP,Tamil Nadu,Chennai North,SRINIVASON .S,6819,1422392
AAAP,Tamil Nadu,Chennai South,MEDIHALA CHALAVADI M CHANDRASHEKAR,17208,1795776
AAAP,Tamil Nadu,Coimbatore,PON CHANDRAN.,6680,1720221
AAAP,Tamil Nadu,Cuddalore,SYED MOHIDEEN.A.G.,3473,1247908
AAAP,Tamil Nadu,Dindigul,ELANCHEZHIAN.S,3395,1400531
AAAP,Tamil Nadu,Erode,KUMAR,4654,1321399
AAAP,Tamil Nadu,Kallakurichi,K B SWAROOP,2910,1412499
AAAP,Tamil Nadu,Kanniyakumari,KUMAR,15314,1467796
AAAP,Tamil Nadu,Karur,R. MAHESHA,2440,1298322
AAAP,Tamil Nadu,Madurai,M.KAMACIS,5378,1441434
AAAP,Tamil Nadu,Namakkal,KUMAR,4348,1329552
AAAP,Tamil Nadu,Nilgiris,"RANI, M.T.",12525,1269173
AAAP,Tamil Nadu,Salem,SATHEESH KUMAR,5198,1498350
AAAP,Tamil Nadu,Sivaganga,G S RAJU,2131,1412373
AAAP,Tamil Nadu,Sriperumbudur,"VASIGARAN, S.A.N. THIRU",18963,1946503
AAAP,Tamil Nadu,Theni,BHOGILAL J. RATHOD (ADVOCATE),3213,1441302
AAAP,Tamil Nadu,Thiruvallur,"BALA MURUGAN, P.",8260,1702833
AAAP,Tamil Nadu,Thoothukkudi,PUSHPARAYAN.M.,26476,1310406
AAAP,Tamil Nadu,Tiruchirappalli,RAVI,4885,1387140
AAAP,Tamil Nadu,Tirunelveli,SESURAJ.M.P,18353,1420435
AAAP,Tamil Nadu,Tiruppur,PULAPAKA RAJA SEKHAR,3087,1375589
AAAP,Tamil Nadu,Vellore,A. HEMANTH,3742,1312259
AAAP,Telangana,Aruku,A.RAJU,8569,1272340
AAAP,Telangana,Bapatla,EDA CHENNAIAH,3948,1392964
AAAP,Telangana,CHELVELLA,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,7462,2185164
AAAP,Telangana,Guntur,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,2344,1572017
AAAP,Telangana,Hyderabad,LUBNA SARWATH,6118,1823217
AAAP,Telangana,Kadapa,SYED ALAMDAR HUSSAIN,3401,1550440
AAAP,Telangana,Kakinada,KESINENI SRINIVAS (NANI),2356,1418290
AAAP,Telangana,Kurnool,KUMAR,6522,1481791
AAAP,Telangana,Malkajgiri,IMRAN,8301,3183083
AAAP,Telangana,Nalgonda,B. V NAIK,2308,1494343
AAAP,Telangana,Nandyal,KUMAR,2499,1576945
AAAP,Telangana,Nizamabad,RAPELLY SRINIVAS,2621,1496193
AAAP,Telangana,Ongole,JANGITE LAKSHMI NARASIMHA YADAV,4393,1470212
AAAP,Telangana,Secundrabad,RATAN MANDAL,11184,1893741
AAAP,Telangana,Srikakulam,JAIDEV INJARAPU,2559,1413726
AAAP,Telangana,Tirupati,ESWARA,7280,1574161
AAAP,Telangana,Vijayawada,MOHINDER SINGH,3088,1564513
AAAP,Telangana,Visakhapatnam,KUNA RAMAM,6175,1723011
AAAP,Telangana,Vizianagaram,BEERAMGANTI VENKAT RAMESH NAIDU,2505,1403736
AAAP,Telangana,Warangal,CHINTHA SWAMY,5569,1537778
AAAP,Telangana,Zahirabad,KUMAR,3285,1445354
AAAP,Tripura,Tripura East,BIJOY DOLUI,4871,1140276
AAAP,Tripura,Tripura West,PRATUL CHANDRA SAHA,4981,1248546
AAAP,Uttar Pradesh,Agra,RAVINDRA SINGH KATAR,7804,1814739
AAAP,Uttar Pradesh,Akbarpur,ARVIND KUMAR,7914,1768635
AAAP,Uttar Pradesh,Aligarh,SATISH CHANDRA SHARMA,829,1887127
AAAP,Uttar Pradesh,Aligarh,YASMIN BANOO MOHD. SALIM,8978,1793126
AAAP,Uttar Pradesh,Allahabad,ADARSH SHASTRI,6439,1666569
AAAP,Uttar Pradesh,Allahabad,Bhawani Singh,1845,1716160
AAAP,Uttar Pradesh,Ambedkar Nagar,BRIJESH KUMAR,3025,1718774
AAAP,Uttar Pradesh,Amethi,KUMAR,25527,1669843
