party,per_14,per_19
NULL,0.17%,0.00%
RJNP,0.17%,0.10%
NULL,0.17%,0.00%
NULL,0.17%,0.00%
GaAP,0.16%,0.01%
NULL,0.16%,0.00%
UPP,0.16%,0.40%
NULL,0.16%,0.00%
MCPI,0.16%,0.21%
NULL,0.16%,0.00%
BSCP,0.16%,0.17%
NULL,0.16%,0.00%
NULL,0.16%,0.00%
SP(I),0.16%,0.07%
NULL,0.16%,0.00%
NULL,0.16%,0.00%
BIP,0.16%,0.11%
YuS,0.15%,0.04%
SamSP,0.15%,0.55%
NULL,0.15%,0.00%
CPIM,0.15%,7.01%
NULL,0.15%,0.00%
AIPF,0.15%,0.64%
NULL,0.15%,0.00%
NULL,0.15%,0.00%
NULL,0.15%,0.00%
MOSP,0.15%,0.39%
NULL,0.15%,0.00%
PBI,0.15%,0.12%
NULL,0.15%,0.00%
BSP(A),0.14%,0.10%
NULL,0.14%,0.00%
NULL,0.14%,0.00%
NULL,0.14%,0.00%
SJPA,0.14%,0.23%
RVP,0.14%,0.02%
NULL,0.14%,0.00%
MwSP,0.14%,0.12%
NULL,0.14%,0.00%
NULL,0.14%,0.00%
NULL,0.14%,0.00%
LD,0.14%,0.19%
NULL,0.13%,0.00%
NULL,0.13%,0.00%
JMBP,0.13%,0.08%
NULL,0.13%,0.00%
NULL,0.13%,0.00%
NULL,0.13%,0.00%
BHPP,0.13%,0.08%
NULL,0.13%,0.00%
IVD,0.13%,0.04%
BaVaP,0.13%,0.05%
NULL,0.13%,0.00%
JSEP,0.13%,0.09%
SaDa,0.13%,0.16%
NULL,0.13%,0.00%
BRPI,0.12%,0.77%
NULL,0.12%,0.00%
NULL,0.12%,0.00%
NAP,0.12%,0.07%
TECPI,0.12%,0.11%
RaIP,0.12%,0.18%
PGSP,0.12%,0.22%
RRP,0.12%,0.16%
NULL,0.12%,0.00%
NULL,0.12%,0.00%
NULL,0.12%,0.00%
AIMF,0.12%,0.04%
ANC,0.12%,0.14%
NULL,0.12%,0.00%
JVBP,0.11%,0.02%
RAHM,0.11%,0.03%
AVIRP,0.11%,0.10%
JRPa,0.11%,0.06%
NULL,0.11%,0.00%
BhNP,0.11%,0.33%
NULL,0.11%,0.00%
NULL,0.11%,0.00%
