party,per_14,per_19
JSP,0.07%,0.00%
NavaP,0.07%,0.00%
RJPD,0.07%,0.00%
RD,0.07%,0.00%
NFFF,0.07%,0.00%
ABJS,0.07%,0.29%
BRKP(D),0.07%,0.00%
VMMKT,0.07%,0.00%
ILP(AP),0.07%,0.23%
SANVP,0.07%,0.00%
RVZP,0.07%,0.00%
BhaRP,0.07%,0.00%
MSJP,0.07%,0.00%
BBPP,0.07%,0.00%
JJJKP,0.07%,0.00%
VIP,0.07%,0.18%
BMFP,0.07%,0.00%
kajp,0.07%,0.07%
RJSPS,0.07%,0.00%
AHIMSASP,0.07%,0.00%
RASAP,0.07%,0.00%
BBKD,0.07%,0.00%
RVyP,0.07%,0.00%
HIMJKP,0.07%,0.00%
RaAD,0.07%,0.24%
JNSMP,0.07%,0.00%
BHJMP,0.07%,0.00%
MaNPa,0.07%,0.00%
TSP,0.07%,0.00%
SHF,0.07%,0.00%
SP(I),0.07%,0.16%
CSM,0.07%,0.24%
NAP,0.07%,0.12%
LJGP,0.07%,0.00%
RPC(S),0.06%,0.07%
RPB,0.06%,0.00%
BND,0.06%,0.00%
HAPa,0.06%,0.00%
NDEP,0.06%,0.22%
JASWP,0.06%,0.00%
ManKP,0.06%,0.00%
BRPPA,0.06%,0.00%
BKrD,0.06%,0.06%
JRPa,0.06%,0.11%
SWAP,0.06%,0.00%
ICF,0.06%,0.00%
RMEP,0.06%,0.00%
DSPVAD,0.06%,0.00%
BhBSP,0.06%,0.00%
BRP,0.06%,0.00%
HSP,0.06%,0.00%
SLDP,0.06%,0.00%
RTJPS,0.06%,0.00%
NNMP,0.06%,0.00%
SBSPSP,0.06%,0.00%
VoP,0.06%,0.06%
UtPP,0.06%,0.00%
BNIP,0.06%,0.09%
KJP,0.06%,0.00%
BHAIP,0.06%,0.00%
STBSP,0.06%,0.00%
ssrd,0.06%,0.10%
AIRCP,0.06%,0.00%
HCP,0.06%,0.00%
JPD,0.06%,0.00%
RtrJP,0.05%,0.08%
IMK,0.05%,0.00%
LJSPty,0.05%,0.00%
SJPI,0.05%,0.00%
FIP,0.05%,0.00%
NNKP,0.05%,0.00%
BJSAP,0.05%,0.00%
ABEP,0.05%,0.00%
BaVaP,0.05%,0.13%
VJNP,0.05%,0.00%
RPIR,0.05%,0.00%
NAPt,0.05%,0.00%
JANSAPP,0.05%,0.00%
BAAP,0.05%,0.00%
BHBP,0.05%,0.07%
SVJSP,0.05%,0.00%
pjdl,0.05%,0.62%
DAMK,0.05%,0.00%
BPKP,0.05%,0.00%
BHABHAPA,0.05%,0.00%
BSKP,0.05%,0.06%
JASP,0.05%,0.00%
NRCP,0.05%,0.00%
ALHP,0.05%,0.08%
MKDVP,0.05%,0.00%
AIMAK,0.05%,0.00%
AIVP,0.05%,0.00%
UBM,0.05%,0.00%
AMKP,0.05%,0.00%
BMJP,0.05%,0.00%
RTBHP,0.05%,0.00%
APEP,0.05%,0.00%
AAPP,0.05%,0.00%
SAVIPA,0.05%,0.00%
AYP,0.05%,0.00%
BLokSP,0.05%,0.00%
RBJJP,0.05%,0.00%
AACP,0.05%,0.00%
RGD,0.04%,0.06%
STPI,0.04%,0.00%
NPT,0.04%,0.09%
RAJUP,0.04%,0.00%
AINPP,0.04%,0.00%
PLP,0.04%,0.09%
KPJP,0.04%,0.00%
RAJADP,0.04%,0.00%
IVD,0.04%,0.13%
RMGLMP,0.04%,0.00%
RNNBP,0.04%,0.00%
BCUF,0.04%,0.24%
MKUP,0.04%,0.02%
DCLF,0.04%,0.00%
LoRP,0.04%,0.04%
BSDL,0.04%,0.05%
KHSNP,0.04%,0.00%
MYSP,0.04%,0.00%
NDDHP,0.04%,0.00%
AIMF,0.04%,0.12%
RJnPty,0.04%,0.00%
RBP,0.04%,0.00%
BNavP,0.04%,0.00%
YuS,0.04%,0.15%
ARK,0.03%,0.00%
ABD,0.03%,0.00%
CDF,0.03%,0.00%
KKMP,0.03%,0.00%
ABSSP,0.03%,0.00%
SoJP,0.03%,0.00%
RJAVP,0.03%,0.02%
SPRP,0.03%,0.00%
MKat,0.03%,0.00%
REALDP,0.03%,0.00%
RaNP,0.03%,0.00%
DPI,0.03%,0.00%
SACP,0.03%,0.00%
ABLP,0.03%,0.00%
RAHM,0.03%,0.11%
BPC,0.03%,0.05%
PrStP,0.03%,0.00%
RHSP,0.03%,0.00%
AJNSP,0.03%,0.00%
FJP,0.03%,0.00%
BDPty,0.03%,0.00%
BSPM,0.03%,0.00%
RAKRD,0.03%,0.00%
KARASP,0.03%,0.00%
NIP,0.03%,0.17%
UDFS,0.03%,0.00%
TGPJP,0.03%,0.00%
PUNP,0.03%,0.00%
HMRD,0.03%,0.00%
BaJD,0.03%,0.00%
igp,0.03%,0.04%
AlPP,0.03%,0.00%
MARD,0.03%,0.00%
swbi,0.02%,0.00%
JVBP,0.02%,0.11%
SFP,0.02%,0.00%
NYP,0.02%,0.03%
RDHP,0.02%,0.26%
ABMP,0.02%,0.07%
LPSP,0.02%,0.26%
RVP,0.02%,0.14%
RPIE,0.02%,0.06%
JLokP,0.02%,0.00%
CHALP,0.02%,0.00%
DPPS,0.02%,0.08%
bjdi,0.02%,0.02%
MLJK,0.02%,0.00%
SJVP,0.02%,0.00%
CoAP,0.02%,0.00%
RSVP,0.02%,0.00%
DKSP,0.02%,0.00%
ToP,0.02%,0.00%
PRISM,0.01%,0.23%
GaAP,0.01%,0.16%
DJHP,0.01%,0.00%
